
	Material	Material Description
	      Unrestricted	Unit

	T09073	VALOMAINOSPÄÄTY C5,C8,C10, OIK. VM.2003
	               83	ST


	T09074	VALOMAINOSPÄÄTY C5,C8,C10, VAS. VM.2003
	              100	ST


	T09086	LOISTEPUTKEN SUOJUS, NORCON-88/-90,NORPE
	                3	ST


	T09088	LOISTEPUTKEN SUOJUS, FESTIVO 86 SO
	               64	ST


	T09106	V90-0001 KAHVA AF90 BACK BAR
	               97	ST


	T09112	HYLLYPIDIKE HELKAMA, MUOVIA, HARMAA / VA
	               70	ST


	T09142	LUKITUSVAIJERI 2500 MM, LENKEIN, MUOVIT.
	              133	ST


	T09148	OVEN SULKUJOUSI, LUMILANDIA 90 LO
	               12	ST


	T09149	OVEN SULKUJOUSI (VIETERI),LUMILANDIA 120
	                5	ST


	T09157	VALOMAINOSPÄÄTY, VASEN, FESTIVO 86 SO
	               15	ST


	T09161	KOUKKU SULKUJOUSEEN, LUMILANDIA 90 LO
	               13	ST


	T09170	HAIHDUTUSALLAS C8, HELKAMA, MATALA
	                6	ST


	T09172	KAHVA MDC, 200-0044
	               40	ST


	T09173	KAHVAN TULPPA MDC 200-0046
	               77	ST


	T09174	KAHVAN KANSI MDC 200-0045
	               58	ST


	T09178	HELKAMAN C5 OVEN SULKUJOUSI, ALUMIINIRAA
	                2	ST


	T09182	LOGO FRAME END PIECE FV200, BLACK, LEFT
	               29	ST


	T09183	LOGO FRAME END PIECE FV200, BLACK, RIGHT
	               25	ST


